"CountryCode","SeriesCode","Year","DESCRIPTION",
"ALB","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ALB","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ALB","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"ALB","HD.HCI.STNT","YR2017","Estimates based on data for 2009.",
"ALB","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2009.",
"ALB","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2009.",
"ARE","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"ARE","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"ARE","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"ARE","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"ARE","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARE","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARE","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARE","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"ARE","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"ARE","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"ARG","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"ARG","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"ARG","HD.HCI.HLOS","YR2017","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARG","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARG","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARG","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"ARG","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"ARM","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"ARM","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition.",
"ARM","HD.HCI.HLOS","YR2017","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARM","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARM","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"ARM","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"ARM","HD.HCI.STNT","YR2017","Estimates based on data for 2016.",
"ARM","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2016.",
"ARM","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2016.",
"AUS","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"AUS","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"AUS","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"AUS","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUS","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUS","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUS","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"AUS","HD.HCI.STNT","YR2017","Estimates based on data for 2007.",
"AUT","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"AUT","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"AUT","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"AUT","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"AUT","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"AUT","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"AUT","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUT","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUT","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AUT","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"AUT","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"AUT","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"AZE","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AZE","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AZE","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"AZE","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"AZE","HD.HCI.STNT","YR2017","Estimates based on data for 2013.",
"BDI","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition.",
"BDI","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition.",
"BDI","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition.",
"BDI","HD.HCI.HLOS","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BDI","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BDI","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BDI","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BDI","HD.HCI.STNT","YR2017","Estimates based on data for 2016.",
"BDI","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2016.",
"BDI","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2016.",
"BEL","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BEL","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BEL","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BEL","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"BEL","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"BEL","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"BEL","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEL","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEL","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEL","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BEL","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BEL","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BEN","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BEN","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BEN","HD.HCI.HLOS","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEN","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEN","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BEN","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BEN","HD.HCI.STNT","YR2017","Estimates based on data for 2014.",
"BEN","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2014.",
"BEN","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2014.",
"BFA","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BFA","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BFA","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BFA","HD.HCI.HLOS","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BFA","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BFA","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BFA","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BFA","HD.HCI.STNT","YR2017","Estimates based on data for 2016.",
"BGD","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGD","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGD","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGD","HD.HCI.HLOS","YR2017","Estimates based on data for 2016 from the testing program: EGRA. Estimates are not nationally representative. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGD","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2016 from the testing program: EGRA. Estimates are not nationally representative. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGD","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2016 from the testing program: EGRA. Estimates are not nationally representative. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGD","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BGD","HD.HCI.STNT","YR2017","Estimates based on data for 2014.",
"BGD","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2014.",
"BGD","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2014.",
"BGR","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BGR","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BGR","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BGR","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGR","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGR","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BGR","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGR","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGR","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BGR","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BGR","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BGR","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BHR","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BHR","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"BHR","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BHR","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BHR","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BHR","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BHR","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2013. Estimates are adjusted for repetition.",
"BIH","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2013. Estimates are adjusted for repetition.",
"BIH","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2013. Estimates are adjusted for repetition.",
"BIH","HD.HCI.HLOS","YR2017","Estimates based on data for 2007 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BIH","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2007 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BIH","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2007 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BIH","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BIH","HD.HCI.STNT","YR2017","Estimates based on data for 2012.",
"BIH","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2012.",
"BIH","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2012.",
"BRA","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition.",
"BRA","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BRA","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BRA","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BRA","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BRA","HD.HCI.STNT","YR2017","Estimates based on data for 2009 from the Brasil Pesquisa de Orçamentos Familiares 2008-2009.",
"BRA","HD.HCI.STNT.FE","YR2017","Estimates based on data for 2009 from the Brasil Pesquisa de Orçamentos Familiares 2008-2009.",
"BRA","HD.HCI.STNT.MA","YR2017","Estimates based on data for 2009 from the Brasil Pesquisa de Orçamentos Familiares 2008-2009.",
"BWA","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BWA","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BWA","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition.",
"BWA","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BWA","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BWA","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"BWA","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"BWA","HD.HCI.STNT","YR2017","Estimates based on data for 2007.",
"CAN","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"CAN","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"CAN","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"CAN","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"CAN","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"CAN","HD.HCI.EYRS.MA","YR2017","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition.",
"CAN","HD.HCI.HLOS","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"CAN","HD.HCI.HLOS.FE","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"CAN","HD.HCI.HLOS.MA","YR2017","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores.",
"CAN","HD.HCI.MORT","YR2017","Estimates based on data for 2017.",
"CAN","HD.HCI.MORT.FE","YR2017","Estimates based on data for 2017.",
"CAN","HD.HCI.MORT.MA","YR2017","Estimates based on data for 2017.",
"CHE","HD.HCI.AMRT","YR2017","Estimates based on data for 2017.",
"CHE","HD.HCI.AMRT.FE","YR2017","Estimates based on data for 2017.",
"CHE","HD.HCI.AMRT.MA","YR2017","Estimates based on data for 2017.",
"CHE","HD.HCI.EYRS","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
"CHE","HD.HCI.EYRS.FE","YR2017","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition.",
